2022-02-24 02:11:08.021784+00:00 nozzle: 1 | time: 1645668668.0217214 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.022083+00:00 nozzle: 1 | time: 1645668668.0220413 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.022337+00:00 nozzle: 1 | time: 1645668668.022301 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.022616+00:00 nozzle: 2 | time: 1645668668.0225685 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.022927+00:00 nozzle: 2 | time: 1645668668.0228808 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.023229+00:00 nozzle: 1 | time: 1645668668.0231812 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.023519+00:00 nozzle: 2 | time: 1645668668.0234776 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.023826+00:00 nozzle: 3 | time: 1645668668.0237634 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.024250+00:00 nozzle: 2 | time: 1645668668.024174 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.024953+00:00 nozzle: 3 | time: 1645668668.0248225 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.025675+00:00 nozzle: 2 | time: 1645668668.0255444 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.026421+00:00 nozzle: 1 | time: 1645668668.0263078 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.026961+00:00 nozzle: 3 | time: 1645668668.0269027 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.027294+00:00 nozzle: 0 | time: 1645668668.0272434 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.135217+00:00 [INFO] onDur 0.1325589656829834 for nozzle 3 received.
2022-02-24 02:11:08.138313+00:00 [INFO] onDur 0.13889517784118652 for nozzle 0 received.
2022-02-24 02:11:08.145641+00:00 [INFO] onDur 0.1412748336791992 for nozzle 2 received.
2022-02-24 02:11:08.146474+00:00 nozzle: 1 | time: 1645668668.1463928 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.147088+00:00 nozzle: 1 | time: 1645668668.1470094 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.147588+00:00 nozzle: 1 | time: 1645668668.1475172 | location 0 | delay: 0 | duration: 0.15
